Date,Day,DayName,Month,MonthNo,Quarter,QuarterNo,Year,YearMonth
2023-04-03,3,Monday,Apr,4,Q2,2,2023,2023-04
2023-04-04,4,Tuesday,Apr,4,Q2,2,2023,2023-04
2023-04-05,5,Wednesday,Apr,4,Q2,2,2023,2023-04
2023-04-06,6,Thursday,Apr,4,Q2,2,2023,2023-04
2023-04-07,7,Friday,Apr,4,Q2,2,2023,2023-04
2023-04-08,8,Saturday,Apr,4,Q2,2,2023,2023-04
2023-04-09,9,Sunday,Apr,4,Q2,2,2023,2023-04
2023-04-10,10,Monday,Apr,4,Q2,2,2023,2023-04
2023-04-11,11,Tuesday,Apr,4,Q2,2,2023,2023-04
2023-04-12,12,Wednesday,Apr,4,Q2,2,2023,2023-04
2023-04-13,13,Thursday,Apr,4,Q2,2,2023,2023-04
2023-04-14,14,Friday,Apr,4,Q2,2,2023,2023-04
2023-04-15,15,Saturday,Apr,4,Q2,2,2023,2023-04
2023-04-16,16,Sunday,Apr,4,Q2,2,2023,2023-04
2023-04-17,17,Monday,Apr,4,Q2,2,2023,2023-04
2023-04-18,18,Tuesday,Apr,4,Q2,2,2023,2023-04
2023-04-19,19,Wednesday,Apr,4,Q2,2,2023,2023-04
2023-04-20,20,Thursday,Apr,4,Q2,2,2023,2023-04
2023-04-21,21,Friday,Apr,4,Q2,2,2023,2023-04
2023-04-22,22,Saturday,Apr,4,Q2,2,2023,2023-04
2023-04-23,23,Sunday,Apr,4,Q2,2,2023,2023-04
2023-04-24,24,Monday,Apr,4,Q2,2,2023,2023-04
2023-04-25,25,Tuesday,Apr,4,Q2,2,2023,2023-04
2023-04-26,26,Wednesday,Apr,4,Q2,2,2023,2023-04
2023-04-27,27,Thursday,Apr,4,Q2,2,2023,2023-04
2023-04-28,28,Friday,Apr,4,Q2,2,2023,2023-04
2023-04-29,29,Saturday,Apr,4,Q2,2,2023,2023-04
2023-04-30,30,Sunday,Apr,4,Q2,2,2023,2023-04
2023-05-01,1,Monday,May,5,Q2,2,2023,2023-05
2023-05-02,2,Tuesday,May,5,Q2,2,2023,2023-05
2023-05-03,3,Wednesday,May,5,Q2,2,2023,2023-05
2023-05-04,4,Thursday,May,5,Q2,2,2023,2023-05
2023-05-05,5,Friday,May,5,Q2,2,2023,2023-05
2023-05-06,6,Saturday,May,5,Q2,2,2023,2023-05
2023-05-07,7,Sunday,May,5,Q2,2,2023,2023-05
2023-05-08,8,Monday,May,5,Q2,2,2023,2023-05
2023-05-09,9,Tuesday,May,5,Q2,2,2023,2023-05
2023-05-10,10,Wednesday,May,5,Q2,2,2023,2023-05
2023-05-11,11,Thursday,May,5,Q2,2,2023,2023-05
2023-05-12,12,Friday,May,5,Q2,2,2023,2023-05
2023-05-13,13,Saturday,May,5,Q2,2,2023,2023-05
2023-05-14,14,Sunday,May,5,Q2,2,2023,2023-05
2023-05-15,15,Monday,May,5,Q2,2,2023,2023-05
2023-05-16,16,Tuesday,May,5,Q2,2,2023,2023-05
2023-05-17,17,Wednesday,May,5,Q2,2,2023,2023-05
2023-05-18,18,Thursday,May,5,Q2,2,2023,2023-05
2023-05-19,19,Friday,May,5,Q2,2,2023,2023-05
2023-05-20,20,Saturday,May,5,Q2,2,2023,2023-05
2023-05-21,21,Sunday,May,5,Q2,2,2023,2023-05
2023-05-22,22,Monday,May,5,Q2,2,2023,2023-05
2023-05-23,23,Tuesday,May,5,Q2,2,2023,2023-05
2023-05-24,24,Wednesday,May,5,Q2,2,2023,2023-05
2023-05-25,25,Thursday,May,5,Q2,2,2023,2023-05
2023-05-26,26,Friday,May,5,Q2,2,2023,2023-05
2023-05-27,27,Saturday,May,5,Q2,2,2023,2023-05
2023-05-28,28,Sunday,May,5,Q2,2,2023,2023-05
2023-05-29,29,Monday,May,5,Q2,2,2023,2023-05
2023-05-30,30,Tuesday,May,5,Q2,2,2023,2023-05
2023-05-31,31,Wednesday,May,5,Q2,2,2023,2023-05
2023-06-01,1,Thursday,Jun,6,Q2,2,2023,2023-06
2023-06-02,2,Friday,Jun,6,Q2,2,2023,2023-06
2023-06-03,3,Saturday,Jun,6,Q2,2,2023,2023-06
2023-06-04,4,Sunday,Jun,6,Q2,2,2023,2023-06
2023-06-05,5,Monday,Jun,6,Q2,2,2023,2023-06
2023-06-06,6,Tuesday,Jun,6,Q2,2,2023,2023-06
2023-06-07,7,Wednesday,Jun,6,Q2,2,2023,2023-06
2023-06-08,8,Thursday,Jun,6,Q2,2,2023,2023-06
2023-06-09,9,Friday,Jun,6,Q2,2,2023,2023-06
2023-06-10,10,Saturday,Jun,6,Q2,2,2023,2023-06
2023-06-11,11,Sunday,Jun,6,Q2,2,2023,2023-06
2023-06-12,12,Monday,Jun,6,Q2,2,2023,2023-06
2023-06-13,13,Tuesday,Jun,6,Q2,2,2023,2023-06
2023-06-14,14,Wednesday,Jun,6,Q2,2,2023,2023-06
2023-06-15,15,Thursday,Jun,6,Q2,2,2023,2023-06
2023-06-16,16,Friday,Jun,6,Q2,2,2023,2023-06
2023-06-17,17,Saturday,Jun,6,Q2,2,2023,2023-06
2023-06-18,18,Sunday,Jun,6,Q2,2,2023,2023-06
2023-06-19,19,Monday,Jun,6,Q2,2,2023,2023-06
2023-06-20,20,Tuesday,Jun,6,Q2,2,2023,2023-06
2023-06-21,21,Wednesday,Jun,6,Q2,2,2023,2023-06
2023-06-22,22,Thursday,Jun,6,Q2,2,2023,2023-06
2023-06-23,23,Friday,Jun,6,Q2,2,2023,2023-06
2023-06-24,24,Saturday,Jun,6,Q2,2,2023,2023-06
2023-06-25,25,Sunday,Jun,6,Q2,2,2023,2023-06
2023-06-26,26,Monday,Jun,6,Q2,2,2023,2023-06
2023-06-27,27,Tuesday,Jun,6,Q2,2,2023,2023-06
2023-06-28,28,Wednesday,Jun,6,Q2,2,2023,2023-06
2023-06-29,29,Thursday,Jun,6,Q2,2,2023,2023-06
2023-06-30,30,Friday,Jun,6,Q2,2,2023,2023-06
2023-07-01,1,Saturday,Jul,7,Q3,3,2023,2023-07
2023-07-02,2,Sunday,Jul,7,Q3,3,2023,2023-07
2023-07-03,3,Monday,Jul,7,Q3,3,2023,2023-07
2023-07-04,4,Tuesday,Jul,7,Q3,3,2023,2023-07
2023-07-05,5,Wednesday,Jul,7,Q3,3,2023,2023-07
2023-07-06,6,Thursday,Jul,7,Q3,3,2023,2023-07
2023-07-07,7,Friday,Jul,7,Q3,3,2023,2023-07
2023-07-08,8,Saturday,Jul,7,Q3,3,2023,2023-07
